,id,name,carb,protein,fat,salt,kcal
0,D00006,꿩불고기,39.7,33.5,8.5,1264.31,368.8
1,D00007,닭갈비,44.9,45.9,25.8,1535.83,595.61
2,D00009,닭꼬치,13.35,11.56,8.57,286.91,176.72
3,D00010,더덕구이,31.1,3.1,5.2,743.37,184
4,D00011,도미구이,2.1,61.1,16.5,1582.17,397
5,D00012,돼지갈비,8.1,19.5,14.4,404.66,240.32
6,D00015,병어구이,0.2,54.6,30.8,1567.94,488
7,D00016,불고기,7.8,34.4,25.2,560.71,395.29
8,D00017,붕장어소금구이,11.6,26,16.2,124.75,296.54
9,D00020,소양념갈비구이,26.2,60.1,71.6,1378.45,989.15
10,D00021,양념왕갈비,13.7,27.1,35.3,548.76,480.81
11,D00022,양념장어구이,8.8,30.77,30.56,704.64,433.35
12,D00023,임연수구이,3.5,53.8,29.4,1568.96,494
13,D00024,짚불구이곰장어,2.3,42.7,16.2,826.79,326.21
14,D00025,햄버그스테이크,20.76,26.96,29.65,950.22,457.7
15,D00026,황태구이,26.9,47.8,15.4,1135.33,437.57
16,D00027,훈제오리,12.08,43.06,64.07,1220.37,797.14
17,D00028,게국지,31.7,44.9,12.1,4047.26,415.25
18,D00029,곰치국,23.9,54.3,11.8,3802.06,419.29
19,D00030,굴국밥,88.4,42.4,17.8,1635.39,683
20,D00032,김치국,10.5,5.4,2.8,1642.08,89
21,D00036,떡만둣국,110.71,20.06,11.32,1980.19,624.92
22,D00037,만둣국,47.83,21.43,17.45,2367.99,434.05
23,D00038,맑은감자국,34.6,8.3,5.5,1712.29,221
24,D00039,매생이국,13.4,10,2.8,1420.3,119
25,D00040,무된장국,14.7,6.1,2.4,1741.46,104
26,D00041,미소된장국,2.8,2.8,1.8,517.03,38
27,D00044,바지락조개국,10.1,22,3.1,1596.17,157
28,D00046,뼈다귀해장국,23.4,74.6,35.7,3088.21,714
29,D00047,선지해장국,16.7,49.3,5.4,3074.53,312
30,D00049,소고기무국,7.8,14.2,4,1067.02,123
31,D00050,소고기미역국,7.7,18.1,5.3,1908.91,151
32,D00052,순대국,17.26,43.52,33.02,1504.04,540.3
33,D00054,시래기된장국,11,6.7,3.1,1523.66,99
34,D00060,올갱이국,13,13.7,4.2,2017.16,144.26
35,D00062,우거지해장국,13.5,11.9,5.9,2049.59,154.38
36,D00063,우렁된장국,19.2,24.6,7.7,2134.21,245
37,D00064,탕국,0.24,13.18,4.27,656.75,92.15
38,D00066,홍합미역국,11.6,19.7,4.7,2043.68,167
39,D00067,황태해장국,5.7,24.5,6.8,1533.09,181.7
40,D00068,고추잡채,26.17,10.99,12.01,828.55,256.77
41,D00070,난자완스,19.15,21.63,20.35,703.23,346.25
42,D00071,도토리묵말이,89.7,6.8,8.5,3206.03,462.39
43,D00072,라조기,26.23,20.66,23.49,648.52,398.99
44,D00074,물회,55.3,34.4,18.9,2095.9,529.36
45,D00075,생선물회,82.5,34.3,12.3,2779.74,577.97
46,D00076,소고기샤브샤브,14.7,29.1,9.8,1122.4,263.75
47,D00079,오징어순대,58.3,45.7,5.6,1258.71,466.86
48,D00081,초당순두부,15.8,49.1,29.2,1203.36,522.69
49,D00085,해파리냉채,13.4,6.2,1.4,508.77,91
50,D00087,고들빼기,10.93,1.58,0.61,742.43,55.53
51,D00097,열무얼갈이김치,2.61,1.07,0.33,339.9,17.68
52,D00105,미나리나물,2.24,1.02,1.83,150.33,29.53
53,D00109,취나물,3.31,1.38,6.15,281.86,74.1
54,D00110,콩나물,0.94,1.68,1.65,213.95,25.34
55,D00112,경단(깨),74.22,4.44,0.54,180,319.47
56,D00113,경단(콩),74.03,3.51,0.46,225.83,314.32
57,D00114,기피편,48.99,5.45,0.25,281.06,219.97
58,D00116,녹두시루떡,48.08,7.74,2.53,263.66,246.07
59,D00117,메밀전병,21.62,6.19,6.29,345.81,167.83
60,D00119,무지개떡,53.01,3.53,0.31,276.82,228.97
61,D00121,송편(깨),44.96,4.93,2.74,231.82,224.15
62,D00122,송편(콩),41.66,5.24,0.75,233.5,194.33
63,D00123,수수부꾸미,42.1,5.73,6.29,261,247.89
64,D00124,수수팥떡,43.03,6.7,0.59,241.93,204.24
65,D00125,시루떡,47.54,5.47,0.61,277.91,217.48
66,D00126,쑥떡,57.89,3.36,0.4,254.32,248.64
67,D00129,절편,43.94,3.64,0.29,265.87,192.89
68,D00131,찹쌀떡,65.61,3.27,0.15,225.61,276.87
69,D00136,간자장,134.22,22.33,22.03,2716.2,824.54
70,D00137,굴짬뽕,115.69,32.87,9.61,2662.35,680.67
71,D00138,기스면,89.79,37.82,10.72,2764.59,606.93
72,D00139,김치라면,86.2,13.8,16.9,2531.6,552
73,D00140,김치우동,99.14,15.55,4.6,2874.6,500.18
74,D00141,냉김치말이국수,52,12.9,4.8,2121.62,302.53
75,D00142,닭칼국수,94.7,42.2,12.8,2125.17,663
76,D00143,둘깨칼국수,59.8,17.6,16.5,1192.57,457.88
77,D00147,막국수,109.8,20,5.8,3260.05,571.59
78,D00152,삼선우동,105.9,47.94,8.48,2722.32,691.66
79,D00153,삼선자장면,126.53,33.64,18.14,2628.24,803.9
80,D00154,삼선짬뽕,101.73,39.63,10.77,2689.13,662.37
81,D00156,쌀국수,55.1,15.6,4.2,1651.58,320.32
82,D00157,열무김치국수,69.6,15,10.2,3007.45,431
83,D00158,열무냉면,97.52,20.84,5.78,3152.37,525.49
84,D00159,오일소스스파게티,89.42,19.56,23.43,1124.33,646.74
85,D00160,올갱이국수,111.6,11.2,8.3,3862.84,566
86,D00161,우동(일식),74.2,13.39,7.91,2390.32,421.51
87,D00162,우동(중식),85.37,29.45,21.02,3395.86,648.47
88,D00163,울면,128.18,37.46,7.37,2799.92,728.86
89,D00164,자장면,133.63,19.77,20.32,2391.58,796.5
90,D00167,짬뽕라면,92,21.3,26.3,2493.81,689
91,D00169,치즈라면,80,16.8,23,2113.4,595
92,D00171,크림소스스파게티,73.76,21.79,50.59,1030.21,837.57
93,D00172,토마토소스스파게티,93.2,24.35,19.15,1508.63,642.58
94,D00173,해물칼국수,123.9,22.8,4.61,2355.07,628.26
95,D00174,해물크림소스스파게티,86.97,30.39,49.79,1323.7,917.57
96,D00175,해물토마토소스스파게티,87.24,27.97,13.73,1533.16,584.44
97,D00178,골뱅이무침,15.69,7.08,1.97,525.52,108.79
98,D00180,노각무침,14.3,2.6,1.8,817.37,84
99,D00181,단무지무침,2.8,0.5,0.8,428.92,20
100,D00182,달래나물무침,23.8,4,2.8,867.04,136
101,D00183,더덕무침,43.4,4.3,2.8,1246.58,216
102,D00185,도토리묵,10.38,0.29,0.32,124.15,45.6
103,D00190,밴댕이무침,46,29.8,33,1027.23,600.01
104,D00194,서대회무침,45.9,22.6,4.6,1198.9,315.21
105,D00195,쑥갓나물무침,6.6,4.5,5.7,709.99,96
106,D00198,우거지나물무침,8.7,4.5,8.5,772.52,129
107,D00200,쥐치채,10.9,2.75,0.15,296.34,55.92
108,D00201,청포묵무침,22.7,2.9,5.2,724.02,149
109,D00202,탕평채,12.26,3.55,3.81,260.4,97.5
110,D00205,홍어무침,25.95,17.85,2.63,802.04,198.94
111,D00206,고추장불고기 삼각김밥,34.11,3.66,1.58,342.92,165.29
112,D00207,곤드레나물밥,98.9,10.3,9.5,90.62,521.83
113,D00208,국밥,58.6,27.6,8.2,2301.55,418.35
114,D00212,농어초밥,78.75,17.43,1.34,1035.04,396.74
115,D00213,돼지국밥,74.7,66.4,38.6,1096.58,911.4
116,D00214,류산슬덮밥,73.95,26.96,19.04,1579.35,574.99
117,D00215,멍게비빔밥,90.7,16.6,13.1,1144.8,547.21
118,D00216,멸치주먹밥,54.3,9,6.6,496.21,312
119,D00217,묵밥,128.6,14.8,7.7,2075.5,642.16
120,D00218,문어초밥,81.78,14.61,0.74,1200.86,392.23
121,D00222,비빔밥,98.7,24.6,22,1119.66,691.62
122,D00223,삼선볶음밥,85.75,26.24,26.46,1213.56,686.11
123,D00225,새우초밥,78.42,16.8,0.75,1110.29,387.67
124,D00226,새우튀김롤,96.28,14.47,18.17,1391.43,606.5
125,D00227,샐러드김밥,61.45,9.62,13.52,911.18,405.95
126,D00228,생선초밥(광어),77.55,27.07,3.92,808.75,453.78
127,D00229,생선초밥(모듬),76.43,25.42,6.06,968.94,461.97
128,D00230,소고기국밥,42.6,21.8,8.1,1786.31,330.53
129,D00231,소고기김밥,62.52,15.98,9.63,1061.19,400.61
130,D00232,송이덮밥,95.6,18.21,14.06,1678.01,581.81
131,D00233,숯불갈비 삼각김밥,32.55,4,1.67,358.36,161.24
132,D00235,약초비빔밥,80.2,11.9,15.9,971.61,511.8
133,D00236,연어롤,74.32,18.57,15.4,1211.9,510.19
134,D00237,연어초밥,71.04,18.88,9.74,1064.39,447.32
135,D00238,오곡밥,82.32,11.95,1.3,113.9,388.82
136,D00243,자장밥,120.06,15.24,22.28,1560.38,741.66
137,D00245,잡탕밥,104.94,44.12,20.14,2109.52,777.44
138,D00246,장어덮밥,97.35,30.09,22.98,920.77,716.54
139,D00247,장어초밥,80.68,16.52,10.83,1270.91,486.26
140,D00251,참치덮밥,102.93,29.2,16.73,1618.75,679.1
141,D00252,참치마요네즈 삼각김밥,31.95,3.94,3.2,282.1,172.4
142,D00253,충무김밥,109.16,23.43,5.96,1294.27,583.93
143,D00256,캘리포니아롤,89.23,12.33,9.05,1295.88,487.64
144,D00258,한치초밥,77.92,13.71,0.85,1199.31,374.18
145,D00259,해물덮밥,100.45,42.04,22.44,1802.68,771.93
146,D00260,해물볶음밥,90.46,25.11,27,1074.35,705.22
147,D00261,회덮밥,103.3,30.21,16.55,744.27,683.02
148,D00265,깻잎나물볶음,11.5,7.5,14.4,1042.68,206
149,D00268,돼지고기볶음,18.21,22.96,20.67,1051.76,350.67
150,D00269,돼지껍데기볶음,24.5,25.8,16.7,779.81,352
151,D00270,두부김치,14.08,19.47,17.12,989.69,288.21
152,D00273,머위나물볶음,7.6,3.5,7,718.63,108
153,D00274,멸치풋고추볶음,3.41,4.65,2.24,275.54,52.38
154,D00276,소세지볶음,31.8,18.8,29.9,1436.06,471
155,D00277,순대볶음,76.7,20.7,21.3,1500.35,582
156,D00278,양송이버섯볶음,11,4.5,8.3,515.17,136
157,D00281,오삼불고기,20.5,25.6,19.9,885.09,363
158,D00285,주꾸미볶음,22.83,18.33,5.2,918.86,211.41
159,D00286,표고버섯볶음,15.8,4.5,6.7,574.8,142
160,D00287,해물볶음,32.2,38.2,15.3,1755.16,419.06
161,D00288,곰보빵,42.16,6.31,9.27,202.25,277.34
162,D00291,만주,46.8,5.13,1.64,118.19,222.49
163,D00294,버터크림빵,27.74,4.91,11.04,191.18,229.96
164,D00297,불고기피자,61.2,27.4,16.7,916.87,505
165,D00299,참치샌드위치,36.5,23.3,35.1,915.59,555
166,D00300,찹쌀도우넛,39.95,3.53,3.68,242.99,207.05
167,D00301,채소고로케,31.19,7.13,16.38,403.33,300.65
168,D00302,초콜릿케이크,43.6,5.32,24.96,170,420.24
169,D00303,치즈케이크,28.64,7.23,20.63,200.67,329.15
170,D00304,치즈피자,71.2,31.4,15.8,949.96,553
171,D00308,페이스트리빵,32.52,5.99,18.4,295.79,319.59
172,D00309,페퍼로니피자,70.3,29.4,14.8,945.22,532
173,D00310,포테이토피자,71.6,28,25.5,999.93,628
174,D00313,수정과,20.34,0.6,5.47,9.72,133
175,D00314,식혜,24.32,2.3,2.63,3.38,130.14
176,D00316,간장마늘쫑장아찌,5.4,1,0.5,813.64,30
177,D00317,고추장마늘쫑장아찌,10.5,1.3,0.9,707.34,55
178,D00321,매실장아찌,17.43,0.5,0.13,337.86,72.88
179,D00322,무장아찌,5.03,0.44,0.23,879.81,23.92
180,D00326,계적,0,57.72,30.43,210.11,488.08
181,D00327,낙지꼬지,2.83,13.14,1.28,207.07,75.35
182,D00328,돔베기적,0,30.08,7.42,451.25,159.49
183,D00329,소고기산적,7.33,48.41,25.57,1392.84,453.08
184,D00330,소라산적,6.45,17.92,2.51,396.68,120.1
185,D00331,오징어산적,3.6,17.38,1.98,477.11,101.71
186,D00332,홍어적,0,23.59,0.66,323.53,89.15
187,D00333,홍합산적,10.58,17.78,4.8,719.72,156.67
188,D00334,가자미전,6.92,25.76,11.07,819.37,230.28
189,D00336,고추전,17.01,12.91,17.22,362.21,274.69
190,D00337,굴전,14.5,10.6,10.5,325.7,195
191,D00339,깻잎전,14.54,17.74,25.78,480.15,361.1
192,D00340,녹두빈대떡,20.93,7.95,10.27,232.05,207.94
193,D00342,동그랑땡(육원전),12.68,19.62,20,553.09,309.2
194,D00343,동태전,10.54,22.64,15.04,702.16,268.05
195,D00345,두부전,7.5,20.46,15.87,317.15,254.64
196,D00346,미나리전,34.23,5.24,7.62,248.7,226.41
197,D00347,배추전,35.52,5.17,8.67,326.83,240.75
198,D00348,버섯전,16.19,10.52,14.87,313.76,240.69
199,D00350,야채전,21.6,5.4,9.5,321.52,194
200,D00351,파전,34.81,6.83,14.03,345.96,292.8
201,D00353,햄부침,11.3,11.3,17.1,715.66,244
202,D00354,호박부침개,10.1,3.9,8.1,174.33,129
203,D00355,호박전,16.1,6.48,13.09,276.95,208.1
204,D00356,화양적,21.35,13.58,14.77,797.03,272.65
205,D00357,가자미조림,21.5,37.1,7.1,1692.83,297.98
206,D00360,고추조림,13.4,3.3,4.9,779.1,111
207,D00362,동태조림,17.4,40.8,4.7,1391.69,276
208,D00363,돼지고기메추리알장조림,3.37,8.34,1.85,582.99,63.49
209,D00366,북어조림,17.14,20.83,3.33,765.95,181.86
210,D00367,소고기메추리알장조림,2.88,8.14,1.84,602.12,60.65
211,D00370,조기조림,12.8,41.1,18.8,1771.22,384
212,D00372,게살죽,107.35,17.9,7.1,1453.82,564.83
213,D00373,깨죽,79.31,13.66,15.94,1160.19,515.35
214,D00375,백합죽,84.7,16.5,5.6,996.8,455.28
215,D00376,소고기버섯죽,109.03,18.75,7.47,1261.8,578.28
216,D00377,어죽,100.8,20.4,7.5,2105.53,552.06
217,D00378,잣죽,155.28,19.18,19.63,878.81,874.48
218,D00380,참치죽,104.57,24.19,16.06,1342.4,659.6
219,D00384,고등어찌개,25.6,48.9,33.7,2584.06,601.62
220,D00385,김치찌개,11.93,15.07,15.01,1962.14,243.03
221,D00386,꽁치찌개,12.2,24,23.3,1296.4,355
222,D00389,두부전골,17.1,25.6,16.1,1650.77,315.16
223,D00390,버섯찌개,15.4,14.7,5.2,1293.87,167.56
224,D00392,부대찌개,39.7,18.4,18.6,2321.9,399.5
225,D00393,새우젓두부찌개,7.2,16.2,8.1,1123.08,166
226,D00394,소곱창전골,29.2,41.6,27.3,1779.63,529
227,D00399,햄김치찌개,12.7,11.1,10.4,1583.05,189
